set_function,dwc_term
set_occurrences(),basisOfRecord
set_occurrences(),occurrenceID
set_scientific_name(),scientificName
set_coordinates(),decimalLatitude
set_coordinates(),decimalLongitude
set_coordinates(),geodeticDatum
set_coordinates(),coordinateUncertaintyInMeters
set_datetime(),eventDate
set_locality(),continent
set_locality(),country
set_locality(),countryCode
set_locality(),stateProvince
set_locality(),locality
set_taxonomy(),kingdom
set_taxonomy(),phylum
set_taxonomy(),class
set_taxonomy(),order
set_taxonomy(),family
set_taxonomy(),genus
set_taxonomy(),specificEpithet
set_taxonomy(),vernacularName
set_abundance(),individualCount
set_abundance(),organismQuantity
set_abundance(),organismQuantityType
set_abundance(),organismQuantity
set_collection(),datasetID
set_collection(),datasetName
set_collection(),catalogNumber
set_coordinates(),coordinatePrecision
set_scientific_name(),taxonRank
set_scientific_name(),scientificNameAuthorship
set_datetime(),year
set_datetime(),month
set_datetime(),day
set_datetime(),eventTime
set_individual_traits(),individualID
set_individual_traits(),lifeStage
set_individual_traits(),sex
set_individual_traits(),vitality
set_individual_traits(),reproductiveCondition
set_observer(),recordedBy
set_observer(),recordedByID
set_events(),eventID
set_events(),eventType
set_events(),parentEventID
set_license(),license
set_license(),rightsHolder
set_license(),accessRights
set_measurements(),measurementValue
set_measurements(),measurementID
set_measurements(),measurementUnit
set_measurements(),measurementType
